NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,대구광역시 수성구 지산동,1766,1766,0,더샵수성라크에르,월세,84.9397,202506,18,"3,000",130,10,2024,지산로3길 33,202507~202707,신규,-,,,아파트
2,대구광역시 수성구 만촌동,775,775,0,만촌우방팔레스,월세,81.2832,202506,18,"12,000",85,3,2005,청수로 551,202507~202707,신규,-,,,아파트
3,대구광역시 수성구 범어동,2272,2272,0,범어에일린의뜰,전세,72.9621,202506,18,"36,000",0,1,2021,청솔로14길 15,202506~202606,갱신,-,"38,500",0,아파트
4,대구광역시 수성구 범어동,177-3,177,3,마크팰리스범어,월세,42.6363,202506,18,500,70,19,2017,동대구로 336,202506~202606,갱신,사용,500,70,아파트
5,대구광역시 수성구 지산동,1270,1270,0,청구타운,전세,84.9,202506,17,"16,000",0,2,1991,지산로 48,202507~202707,신규,-,,,아파트
6,대구광역시 수성구 시지동,349,349,0,청구전원타운,전세,84.98,202506,17,"18,000",0,1,1990,시지로 45,202507~202707,신규,-,,,아파트
7,대구광역시 수성구 중동,411-1,411,1,광명프레지던트,월세,76.41,202506,17,"11,000",23,11,1980,수성로 165,202507~202707,신규,-,,,아파트
8,대구광역시 수성구 사월동,464,464,0,사월보성,전세,84.99,202506,17,"19,000",0,6,1996,욱수천로 133,202507~202707,신규,-,,,아파트
9,대구광역시 수성구 매호동,1330,1330,0,누리타운,월세,55.32,202506,16,"1,000",50,11,1995,달구벌대로637길 21,202508~202708,신규,-,,,아파트
10,대구광역시 수성구 만촌동,1489,1489,0,만촌자이르네,전세,84.9918,202506,16,"50,700",0,12,2023,교학로19길 19,202507~202707,갱신,사용,"49,000",0,아파트
11,대구광역시 수성구 노변동,742,742,0,수성알파시티청아람,월세,59.946,202506,16,"2,000",90,17,2021,알파시티2로 96,202507~202706,신규,-,,,아파트
12,대구광역시 수성구 범물동,1328,1328,0,서한화성타운,전세,84.575,202506,16,"16,000",0,1,1992,지범로40길 11,202508~202708,신규,-,,,아파트
13,대구광역시 수성구 지산동,1275,1275,0,지산한라타운,전세,59.85,202506,16,"14,270",0,13,1991,지범로22길 9,202506~202606,갱신,-,"16,270",0,아파트
14,대구광역시 수성구 신매동,46,46,0,사월화성파크드림(2단지),전세,84.9999,202506,16,"28,000",0,12,2006,달구벌대로 3304-1,202507~202707,갱신,-,"30,000",0,아파트
15,대구광역시 수성구 신매동,595,595,0,두성,전세,59.37,202506,16,"11,600",0,5,1994,고산로 30,202507~202707,신규,-,,,아파트
16,대구광역시 수성구 두산동,999,999,0,수성레이크푸르지오,전세,109.5844,202506,16,"56,000",0,25,2022,청수로24길 91,202511~202711,신규,-,,,아파트
17,대구광역시 수성구 지산동,1273,1273,0,협화맨션,전세,84.76,202506,16,"20,000",0,9,1991,지범로22길 23,202507~202707,신규,-,,,아파트
18,대구광역시 수성구 수성동1가,112-7,112,7,수성그린타운,전세,109.9041,202506,15,"30,000",0,2,2005,달구벌대로458길 17,202507~202707,신규,-,,,아파트
19,대구광역시 수성구 시지동,600,600,0,고산역화성파크드림,전세,84.8338,202506,15,"28,000",0,2,2019,달구벌대로 3122,202507~202707,신규,-,,,아파트
20,대구광역시 수성구 범어동,2277,2277,0,힐스테이트범어센트럴,전세,84.91,202506,15,"36,000",0,8,2022,상록로 80,202508~202707,신규,-,,,아파트
21,대구광역시 수성구 만촌동,1489,1489,0,만촌자이르네,전세,77.6825,202506,15,"42,000",0,9,2023,교학로19길 19,202509~202709,갱신,사용,"40,000",0,아파트
22,대구광역시 수성구 사월동,645,645,0,시지한신휴플러스,월세,84.7139,202506,15,"2,000",91,10,2013,달구벌대로669길 50,202507~202707,신규,-,,,아파트
23,대구광역시 수성구 노변동,742,742,0,수성알파시티청아람,전세,59.9949,202506,15,"24,000",0,11,2021,알파시티2로 96,202506~202706,신규,-,,,아파트
24,대구광역시 수성구 노변동,742,742,0,수성알파시티청아람,전세,59.9949,202506,15,"24,000",0,11,2021,알파시티2로 96,202506~202706,신규,-,,,아파트
25,대구광역시 수성구 범어동,2272,2272,0,범어에일린의뜰,전세,84.9603,202506,14,"40,000",0,5,2021,청솔로14길 15,202507~202707,신규,-,,,아파트
26,대구광역시 수성구 만촌동,1032-1,1032,1,힐스테이트만촌역,월세,136.6868,202506,14,"10,000",275,25,2024,달구벌대로 2567,202509~202709,신규,-,,,아파트
27,대구광역시 수성구 파동,581-28,581,28,송원맨션,월세,84.99,202506,14,"1,000",75,6,1989,파동로 223,202508~202708,신규,-,,,아파트
28,대구광역시 수성구 범어동,2252,2252,0,범어라온프라이빗2차,전세,84.9728,202506,14,"49,000",0,8,2018,청호로 438,202507~202707,신규,-,,,아파트
29,대구광역시 수성구 수성동1가,272-11,272,11,우방한가람타운,전세,59.93,202506,14,"20,000",0,18,1995,명덕로 368,202508~202707,신규,-,,,아파트
30,대구광역시 수성구 황금동,272,272,0,신천지타운,전세,134.79,202506,14,"31,500",0,10,1991,청호로46길 16,202508~202708,신규,-,,,아파트
31,대구광역시 수성구 황금동,254-1,254,1,신천지하이츠,월세,84.94,202506,14,"2,000",70,2,1992,청호로 229,202508~202708,신규,-,,,아파트
32,대구광역시 수성구 범어동,2250,2250,0,범어효성해링턴플레이스,전세,59.994,202506,14,"35,000",0,1,2018,청호로 433,202507~202707,신규,-,,,아파트
33,대구광역시 수성구 지산동,1766,1766,0,더샵수성라크에르,전세,59.8476,202506,14,"19,950",0,21,2024,지산로3길 33,202506~202708,갱신,사용,"19,000",0,아파트
34,대구광역시 수성구 시지동,28,28,0,시지태왕아너스,전세,84.8819,202506,14,"23,000",0,14,2007,천을로 91,202508~202708,신규,-,,,아파트
35,대구광역시 수성구 신매동,30-6,30,6,시지효성백년가약2단지,전세,123.225,202506,14,"42,000",0,11,2008,달구벌대로 3280-1,202510~202710,신규,-,,,아파트
36,대구광역시 수성구 파동,1009,1009,0,수성해모로하이엔,전세,59.2388,202506,14,"20,000",0,4,2024,파동로 47,202507~202707,신규,-,,,아파트
37,대구광역시 수성구 범어동,177-3,177,3,마크팰리스범어,월세,42.6363,202506,14,"1,000",67,11,2017,동대구로 336,202506~202606,신규,-,,,아파트
38,대구광역시 수성구 범어동,2234,2234,0,범어에스케이뷰,월세,84.9816,202506,14,"5,000",180,11,2009,범어로 73,202508~202708,신규,-,,,아파트
39,대구광역시 수성구 신매동,610,610,0,시지라온프라이빗,전세,84.9845,202506,14,"37,000",0,20,2023,달구벌대로656길 32,202511~202711,신규,-,,,아파트
40,대구광역시 수성구 황금동,254-1,254,1,신천지하이츠,월세,84.94,202506,14,"2,000",70,2,1992,청호로 229,-,-,-,,,아파트
41,대구광역시 수성구 범어동,산103,103,0,장원맨션,월세,84.98,202506,14,"2,000",50,4,1988,청호로 370,202507~202707,신규,-,,,아파트
42,대구광역시 수성구 시지동,41,41,0,시지월드메르디앙,월세,84.9996,202506,14,"3,000",90,6,2009,천을로 70,202508~202908,신규,-,,,아파트
43,대구광역시 수성구 만촌동,1479,1479,0,만촌3차화성파크드림,전세,59.9994,202506,14,"32,000",0,9,2016,교학로 13,202507~202707,신규,-,,,아파트
44,대구광역시 수성구 시지동,486,486,0,노변청구,전세,59.99,202506,14,"12,500",0,5,1996,시지로 21,202507~202707,신규,-,,,아파트
45,대구광역시 수성구 범물동,1372,1372,0,청아타운,전세,84.995,202506,14,"16,000",0,14,1992,범안로 40,202509~202608,신규,-,,,아파트
46,대구광역시 수성구 신매동,570,570,0,시지삼주한라협화,전세,84.84,202506,14,"21,000",0,6,1994,신매로 91,202506~202706,갱신,-,"24,100",0,아파트
47,대구광역시 수성구 파동,1009,1009,0,수성해모로하이엔,전세,59.2388,202506,14,"20,000",0,4,2024,파동로 47,202506~202706,신규,-,,,아파트
48,대구광역시 수성구 범어동,2272,2272,0,범어에일린의뜰,전세,84.941,202506,13,"44,000",0,23,2021,청솔로14길 15,202507~202707,갱신,사용,"42,000",0,아파트
49,대구광역시 수성구 사월동,500,500,0,시지대성유니드,전세,123.4542,202506,13,"21,000",0,3,2007,달구벌대로669길 80,202507~202707,신규,-,,,아파트
50,대구광역시 수성구 신매동,49,49,0,사월화성파크드림(3단지),전세,84.9999,202506,13,"30,000",0,14,2006,달구벌대로 3304-2,202508~202708,신규,-,,,아파트
51,대구광역시 수성구 매호동,1331,1331,0,하나타운,월세,49.92,202506,13,500,45,11,1995,고산로 123,202507~202706,신규,-,,,아파트
52,대구광역시 수성구 매호동,1331,1331,0,하나타운,전세,45.69,202506,13,"12,000",0,14,1995,고산로 123,202507~202707,신규,-,,,아파트
53,대구광역시 수성구 수성동4가,1017-1,1017,1,수성태영데시앙,전세,114.266,202506,13,"42,000",0,23,2008,들안로 360,202506~202706,신규,-,,,아파트
54,대구광역시 수성구 두산동,789,789,0,수성화성파크드림,전세,84.8227,202506,13,"25,000",0,12,2009,용학로28길 8,202507~202707,신규,-,,,아파트
55,대구광역시 수성구 황금동,862-5,862,5,힐스테이트황금역리저브2단지,월세,82.1252,202506,13,"25,000",50,33,2024,청수로25길 24,202507~202707,신규,-,,,아파트
56,대구광역시 수성구 매호동,1040,1040,0,매호동서타운,전세,59.9,202506,12,"15,000",0,13,1995,천을로 180,202507~202706,신규,-,,,아파트
57,대구광역시 수성구 황금동,986,986,0,힐스테이트황금엘포레,전세,84.9828,202506,12,"50,000",0,20,2022,청솔로 16,202506~202704,신규,-,,,아파트
58,대구광역시 수성구 지산동,1234-1,1234,1,지산2단지,전세,54.12,202506,12,"12,000",0,3,1991,지산로 5,202506~202706,갱신,-,"12,000",0,아파트
59,대구광역시 수성구 수성동1가,259-40,259,40,수성대백인터빌,전세,59.9388,202506,12,"20,000",0,6,2003,수성로69길 14,202507~202707,신규,-,,,아파트
60,대구광역시 수성구 범어동,2252,2252,0,범어라온프라이빗2차,전세,84.9728,202506,12,"48,000",0,14,2018,청호로 438,202508~202708,신규,-,,,아파트
61,대구광역시 수성구 범물동,1336,1336,0,범물한라창신태성맨션,월세,84.85,202506,12,"2,000",75,1,1992,용학로 272,202507~202707,신규,-,,,아파트
62,대구광역시 수성구 범어동,2234,2234,0,범어에스케이뷰,월세,68.4526,202506,12,"5,000",140,16,2009,범어로 73,202508~202707,신규,-,,,아파트
63,대구광역시 수성구 수성동4가,1090-5,1090,5,쌍용화성,월세,60,202506,12,"1,000",76,16,1996,수성로 411,202508~202608,신규,-,,,아파트
64,대구광역시 수성구 만촌동,777,777,0,만촌우방타운2단지,월세,59.73,202506,12,"1,000",60,3,1996,교학로11길 91,202506~202702,신규,-,,,아파트
65,대구광역시 수성구 지산동,1766,1766,0,더샵수성라크에르,전세,84.9397,202506,12,"25,000",0,17,2024,지산로3길 33,202506~202707,갱신,사용,"25,000",0,아파트
66,대구광역시 수성구 수성동4가,1090-5,1090,5,쌍용화성,월세,60,202506,12,"1,000",76,16,1996,수성로 411,-,-,-,,,아파트
67,대구광역시 수성구 지산동,1275,1275,0,지산한라타운,전세,59.85,202506,12,"12,000",0,6,1991,지범로22길 9,202506~202706,갱신,-,"15,000",0,아파트
68,대구광역시 수성구 매호동,1331,1331,0,하나타운,전세,45.69,202506,11,"11,000",0,14,1995,고산로 123,202506~202706,갱신,-,"14,000",0,아파트
69,대구광역시 수성구 지산동,1270-1,1270,1,보성맨션,전세,84.99,202506,11,"16,000",0,3,1991,지범로22길 10,202507~202707,신규,-,,,아파트
70,대구광역시 수성구 범물동,1397,1397,0,수성하늘채르레브,전세,84.9978,202506,11,"29,000",0,2,2020,지범로48길 21,202507~202707,신규,-,,,아파트
71,대구광역시 수성구 신매동,46,46,0,사월화성파크드림(2단지),월세,84.9999,202506,11,"3,000",110,11,2006,달구벌대로 3304-1,202507~202707,갱신,사용,"3,000",110,아파트
72,대구광역시 수성구 신매동,594,594,0,시지동서타운,전세,84.92,202506,11,"4,000",0,15,1995,신매로 41,202506~202706,신규,-,,,아파트
73,대구광역시 수성구 노변동,742,742,0,수성알파시티청아람,전세,59.9949,202506,11,"29,000",0,21,2021,알파시티2로 96,202508~202708,신규,-,,,아파트
74,대구광역시 수성구 지산동,1766,1766,0,더샵수성라크에르,전세,84.9397,202506,10,"30,000",0,4,2024,지산로3길 33,202506~202710,갱신,-,"25,000",0,아파트
75,대구광역시 수성구 만촌동,777,777,0,만촌우방타운2단지,월세,84.98,202506,10,"3,000",100,9,1996,교학로11길 91,202508~202708,신규,-,,,아파트
76,대구광역시 수성구 범어동,333,333,0,가든하이츠3,월세,192.35,202506,10,"15,000",250,7,1990,청호로 365,202508~202712,신규,-,,,아파트
77,대구광역시 수성구 시지동,602,602,0,시지센트레빌,전세,72.665,202506,10,"25,000",0,14,2024,달구벌대로622길 9,202507~202707,신규,-,,,아파트
78,대구광역시 수성구 수성동3가,57,57,0,수성3가롯데캐슬,월세,121.1685,202506,10,"20,000",140,9,2008,명덕로 455,202507~202707,신규,-,,,아파트
79,대구광역시 수성구 지산동,1200,1200,0,목련,전세,49.23,202506,10,"7,000",0,1,1986,용학로42길 13,202507~202707,신규,-,,,아파트
80,대구광역시 수성구 범어동,2264,2264,0,힐스테이트범어,전세,84.9218,202506,10,"65,000",0,18,2020,범어로18길 22,202508~202708,신규,-,,,아파트
81,대구광역시 수성구 황금동,365,365,0,캐슬골드파크4단지,전세,84.97,202506,10,"30,975",0,9,2006,청수로 261,202507~202707,갱신,사용,"29,500",0,아파트
82,대구광역시 수성구 수성동4가,1090-6,1090,6,수성보성,전세,59.97,202506,10,"21,000",0,13,1996,수성로 412,202507~202707,신규,-,,,아파트
83,대구광역시 수성구 범물동,1397,1397,0,수성하늘채르레브,월세,84.9978,202506,10,"3,000",110,8,2020,지범로48길 21,202506~202706,갱신,-,"3,000",110,아파트
84,대구광역시 수성구 범물동,670,670,0,우방미진하이츠,월세,84.9,202506,10,"1,000",70,14,2000,지범로 290,202507~202707,신규,-,,,아파트
85,대구광역시 수성구 중동,657,657,0,수성뷰웰리버파크,월세,84.7772,202506,9,"5,000",120,26,2023,수성로41길 41,202506~202706,신규,-,,,아파트
86,대구광역시 수성구 범어동,2283,2283,0,쌍용더플래티넘범어,전세,84.539,202506,9,"41,000",0,23,2023,상록로 25,202508~202708,갱신,사용,"41,000",0,아파트
87,대구광역시 수성구 황금동,891-1,891,1,힐스테이트황금역리저브1단지,전세,83.3299,202506,9,"42,000",0,30,2024,청수로 127,202507~202707,신규,-,,,아파트
88,대구광역시 수성구 지산동,1272-2,1272,2,에덴타운,월세,84.86,202506,9,"2,000",60,15,1991,용학로 223,202506~202706,신규,-,,,아파트
89,대구광역시 수성구 중동,650,650,0,수성골드클래스더센텀,전세,84.974,202506,9,"39,000",0,12,2021,수성로 185,202507~202707,갱신,-,"26,000",0,아파트
90,대구광역시 수성구 파동,27-17,27,17,수성더팰리스푸르지오더샵,전세,75.6439,202506,9,"30,000",0,13,2023,파동로 188,202507~202706,신규,-,,,아파트
91,대구광역시 수성구 신매동,263,263,0,태왕하이츠1,전세,84.9798,202506,9,"23,000",0,2,2000,달구벌대로647길 16,202506~202706,신규,-,,,아파트
92,대구광역시 수성구 시지동,498,498,0,고산노변타운,전세,59.75,202506,9,"11,500",0,2,1996,시지로 55,202506~202706,신규,-,,,아파트
93,대구광역시 수성구 범어동,341,341,0,범어목련,월세,52.86,202506,9,200,20,4,1987,청호로 340,202506~202606,신규,-,,,아파트
94,대구광역시 수성구 수성동4가,1090-6,1090,6,수성보성,월세,59.97,202506,9,"2,000",70,10,1996,수성로 412,202507~202607,신규,-,,,아파트
95,대구광역시 수성구 신매동,139-1,139,1,신화빌라트,전세,59.98,202506,9,"18,400",0,9,1996,달구벌대로650길 29,202505~202705,갱신,사용,"20,000",0,아파트
96,대구광역시 수성구 황금동,986,986,0,힐스테이트황금엘포레,전세,84.9652,202506,9,"39,500",0,19,2022,청솔로 16,202508~202708,신규,-,,,아파트
97,대구광역시 수성구 신매동,10-31,10,31,한라하우젠트,전세,84.9639,202506,9,"27,000",0,9,2006,달구벌대로 3310,202506~202612,갱신,-,"40,000",0,아파트
98,대구광역시 수성구 매호동,721-1,721,1,매호청구하이츠빌,전세,84.995,202506,8,"17,000",0,3,2000,천을로23길 26,202507~202707,신규,-,,,아파트
99,대구광역시 수성구 만촌동,1489,1489,0,만촌자이르네,전세,84.8723,202506,7,"45,000",0,21,2023,교학로19길 19,202506~202706,갱신,-,"42,000",0,아파트
100,대구광역시 수성구 파동,27-17,27,17,수성더팰리스푸르지오더샵,월세,59.776,202506,7,"3,000",80,12,2023,파동로 188,202506~202706,신규,-,,,아파트
101,대구광역시 수성구 범어동,804-46,804,46,공작맨션,전세,53.98,202506,7,"12,500",0,9,1980,청솔로 132,202508~202708,신규,-,,,아파트
102,대구광역시 수성구 황금동,365,365,0,캐슬골드파크1단지,월세,84.97,202506,7,"2,000",105,3,2006,청수로 213,202507~202707,신규,-,,,아파트
103,대구광역시 수성구 만촌동,1489,1489,0,만촌자이르네,전세,77.6825,202506,7,"49,000",0,9,2023,교학로19길 19,202507~202707,신규,-,,,아파트
104,대구광역시 수성구 범어동,2291,2291,0,수성범어W,월세,84.9911,202506,7,"30,000",120,17,2023,달구벌대로 2436,202507~202707,신규,-,,,아파트
105,대구광역시 수성구 상동,555,555,0,수성동일하이빌레이크시티,전세,118.7664,202506,7,"50,000",0,1,2009,수성로 71,-,-,-,,,아파트
106,대구광역시 수성구 상동,555,555,0,수성동일하이빌레이크시티,전세,118.7664,202506,7,"50,000",0,1,2009,수성로 71,202507~202707,신규,-,,,아파트
107,대구광역시 수성구 범어동,2236,2236,0,범어풀비체,월세,81.8909,202506,7,"4,000",170,2,2013,범어로 61,202507~202707,신규,-,,,아파트
108,대구광역시 수성구 지산동,1297-3,1297,3,지산서한이다음아파트,월세,59.56,202506,7,"1,000",50,12,1991,용학로 313,202508~202708,신규,-,,,아파트
109,대구광역시 수성구 중동,556,556,0,수성푸르지오리버센트,전세,110.9955,202506,7,"60,000",0,28,2024,수성로35길 50,202508~202708,신규,-,,,아파트
110,대구광역시 수성구 범어동,333,333,0,가든하이츠3,월세,84.98,202506,7,"2,000",90,7,1990,청호로 365,202508~202708,신규,-,,,아파트
111,대구광역시 수성구 범어동,산103,103,0,장원맨션,전세,84.98,202506,7,"28,000",0,5,1988,청호로 370,202508~202707,신규,-,,,아파트
112,대구광역시 수성구 신매동,46,46,0,사월화성파크드림(2단지),월세,93.735,202506,7,"3,000",110,11,2006,달구벌대로 3304-1,202507~202603,신규,-,,,아파트
113,대구광역시 수성구 범어동,2238,2238,0,범어 화산샬레,월세,74.6997,202506,7,"4,000",140,11,2014,청호로 411-3,202508~202708,신규,-,,,아파트
114,대구광역시 수성구 수성동4가,1090-6,1090,6,수성보성,전세,59.97,202506,7,"19,000",0,7,1996,수성로 412,202508~202708,신규,-,,,아파트
115,대구광역시 수성구 범어동,2291,2291,0,수성범어W,월세,84.9911,202506,7,"30,000",120,17,2023,달구벌대로 2436,-,-,-,,,아파트
116,대구광역시 수성구 신매동,263,263,0,태왕하이츠1,전세,84.9798,202506,7,"20,000",0,11,2000,달구벌대로647길 16,202506~202706,신규,-,,,아파트
117,대구광역시 수성구 범물동,1261,1261,0,범물하이츠,전세,41.85,202506,7,"8,500",0,15,1992,용학로 336,202506~202706,신규,-,,,아파트
118,대구광역시 수성구 범어동,Jun-88,88,6,범어청구하이츠,전세,59.97,202506,7,"17,000",0,16,2000,청호로84안길 2,202507~202807,신규,-,,,아파트
119,대구광역시 수성구 범어동,2264,2264,0,힐스테이트범어,전세,84.9218,202506,7,"70,000",0,7,2020,범어로18길 22,202508~202708,신규,-,,,아파트
120,대구광역시 수성구 시지동,499,499,0,노변다숲,월세,59.73,202506,6,"1,000",50,5,1996,노변공원로 34,202507~202607,신규,-,,,아파트
121,대구광역시 수성구 지산동,1273,1273,0,협화맨션,월세,84.76,202506,6,"1,000",60,1,1991,지범로22길 23,202506~202707,신규,-,,,아파트
122,대구광역시 수성구 만촌동,1040-1,1040,1,해링턴플레이스만촌,전세,84.1492,202506,6,"43,000",0,14,2023,청호로 490,202507~202707,신규,-,,,아파트
123,대구광역시 수성구 만촌동,1341-1,1341,1,심비움,월세,82.81,202506,6,"1,500",60,1,2008,화랑로2길 113,202506~202706,신규,-,,,아파트
124,대구광역시 수성구 범어동,2250,2250,0,범어효성해링턴플레이스,월세,59.994,202506,6,"5,000",140,16,2018,청호로 433,202510~202710,갱신,사용,"5,000",140,아파트
125,대구광역시 수성구 사월동,645,645,0,시지한신휴플러스,전세,113.6673,202506,6,"32,000",0,5,2013,달구벌대로669길 50,202507~202707,신규,-,,,아파트
126,대구광역시 수성구 신매동,569,569,0,시지대백신화창신맨션,월세,59.88,202506,6,"1,000",51,12,1994,고산로 90,202506~202707,신규,-,,,아파트
127,대구광역시 수성구 사월동,464,464,0,사월보성,월세,59.97,202506,6,"1,000",50,12,1996,욱수천로 133,202507~202707,신규,-,,,아파트
128,대구광역시 수성구 만촌동,1489,1489,0,만촌자이르네,전세,84.8723,202506,6,"45,000",0,4,2023,교학로19길 19,202507~202707,갱신,사용,"45,000",0,아파트
129,대구광역시 수성구 범어동,1266,1266,0,수성태왕아너스,전세,84.8438,202506,6,"25,000",0,13,2007,들안로77길 30,202506~202706,신규,-,,,아파트
130,대구광역시 수성구 범어동,175-1,175,1,브라운스톤범어,월세,84.9966,202506,6,"3,000",140,18,2017,동대구로 354,202506~202706,신규,-,,,아파트
131,대구광역시 수성구 만촌동,816,816,0,만촌우방타운1단지,전세,84.92,202506,6,"26,700",0,17,1997,교학로11길 46,202507~202607,갱신,-,"26,700",0,아파트
132,대구광역시 수성구 범어동,1266,1266,0,수성태왕아너스,전세,84.8438,202506,6,"25,000",0,13,2007,들안로77길 30,202506~202706,신규,-,,,아파트
133,대구광역시 수성구 황금동,365,365,0,캐슬골드파크5단지,월세,129.53,202506,6,"5,000",150,4,2006,청수로 214,202508~202708,신규,-,,,아파트
134,대구광역시 수성구 매호동,1331,1331,0,하나타운,월세,49.92,202506,6,0,40,2,1995,고산로 123,202506~202706,신규,-,,,아파트
135,대구광역시 수성구 수성동4가,1090-5,1090,5,쌍용화성,월세,60,202506,6,"1,000",75,16,1996,수성로 411,202509~202709,신규,-,,,아파트
136,대구광역시 수성구 매호동,1331,1331,0,하나타운,월세,49.92,202506,6,0,40,2,1995,고산로 123,202506~202706,신규,-,,,아파트
137,대구광역시 수성구 지산동,1273,1273,0,협화맨션,전세,84.76,202506,5,"20,000",0,6,1991,지범로22길 23,202507~202707,신규,-,,,아파트
138,대구광역시 수성구 신매동,580,580,0,시지청솔타운,전세,57.39,202506,5,"11,500",0,8,1995,고산로 70,-,-,-,,,아파트
139,대구광역시 수성구 신매동,601,601,0,시지보성서한아파트,월세,116.65,202506,5,"2,000",80,14,1995,신매로 21,202507~202707,신규,-,,,아파트
140,대구광역시 수성구 지산동,1234-1,1234,1,지산2단지,월세,54.12,202506,5,"1,000",50,7,1991,지산로 5,202506~202706,신규,-,,,아파트
141,대구광역시 수성구 범물동,1336,1336,0,범물한라창신태성맨션,전세,71.88,202506,5,"17,500",0,5,1992,용학로 272,202506~202706,갱신,사용,"18,000",0,아파트
142,대구광역시 수성구 범어동,614-3,614,3,태왕유성하이빌,월세,84.9686,202506,5,"3,000",90,8,2003,동대구로 250,202508~202612,신규,-,,,아파트
143,대구광역시 수성구 범물동,1336,1336,0,범물한라창신태성맨션,전세,71.88,202506,5,"18,100",0,5,1992,용학로 272,202506~202706,갱신,사용,"18,000",0,아파트
144,대구광역시 수성구 지산동,1297-3,1297,3,지산서한이다음아파트,전세,54.12,202506,5,"11,250",0,5,1991,용학로 313,202507~202707,갱신,-,"12,500",0,아파트
145,대구광역시 수성구 중동,645,645,0,수성데시앙리버뷰,전세,110.9941,202506,5,"43,000",0,6,2022,희망로20길 10,202508~202708,신규,-,,,아파트
146,대구광역시 수성구 범어동,2291,2291,0,수성범어W,전세,84.9911,202506,5,"58,000",0,12,2023,달구벌대로 2436,202508~202708,신규,-,,,아파트
147,대구광역시 수성구 신매동,595,595,0,두성,월세,59.37,202506,5,500,45,10,1994,고산로 30,202506~202706,신규,-,,,아파트
148,대구광역시 수성구 범물동,1261,1261,0,범물하이츠,월세,41.85,202506,5,"3,000",28,6,1992,용학로 336,202506~202704,신규,-,,,아파트
149,대구광역시 수성구 만촌동,1341-1,1341,1,심비움,전세,82.81,202506,5,"17,500",0,5,2008,화랑로2길 113,202507~202707,신규,-,,,아파트
150,대구광역시 수성구 만촌동,1479,1479,0,만촌3차화성파크드림,월세,84.9882,202506,4,"5,000",140,5,2016,교학로 13,202508~202708,신규,-,,,아파트
151,대구광역시 수성구 시지동,498,498,0,고산노변타운,전세,59.75,202506,4,"14,000",0,14,1996,시지로 55,202507~202707,신규,-,,,아파트
152,대구광역시 수성구 노변동,353,353,0,수성월드메르디앙,전세,84.8075,202506,4,"28,000",0,8,2007,노변로 55,202506~202706,갱신,사용,"27,000",0,아파트
153,대구광역시 수성구 수성동1가,818,818,0,수성롯데캐슬THEFIRST,월세,84.9746,202506,4,"3,000",125,2,2015,수성로69길 70,202506~202706,신규,-,,,아파트
154,대구광역시 수성구 지산동,761,761,0,녹원맨션,월세,84.96,202506,4,"15,000",10,13,1989,무학로 189,202506~202706,신규,-,,,아파트
155,대구광역시 수성구 매호동,1077-1,1077,1,시지매호2동서,전세,84.9,202506,4,"20,000",0,14,1999,달구벌대로641길 8,202507~202707,신규,-,,,아파트
156,대구광역시 수성구 수성동4가,1090-7,1090,7,우방사랑마을,월세,34.44,202506,4,500,50,9,1996,달구벌대로 2317,202508~202607,갱신,-,500,48,아파트
157,대구광역시 수성구 중동,411-1,411,1,광명프레지던트,월세,76.375,202506,4,"1,000",55,6,1980,수성로 165,202506~202706,신규,-,,,아파트
158,대구광역시 수성구 신매동,595,595,0,두성,전세,59.37,202506,4,"11,000",0,8,1994,고산로 30,202512~202712,신규,-,,,아파트
159,대구광역시 수성구 상동,555,555,0,수성동일하이빌레이크시티,전세,118.7664,202506,4,"50,000",0,7,2009,수성로 71,202508~202708,신규,-,,,아파트
160,대구광역시 수성구 범어동,320,320,0,경남타운,전세,115.635,202506,4,"28,000",0,11,1982,범어로 27,202508~202708,신규,-,,,아파트
161,대구광역시 수성구 신매동,570,570,0,시지삼주한라협화,전세,59.88,202506,3,"14,000",0,12,1994,신매로 91,202507~202707,신규,-,,,아파트
162,대구광역시 수성구 노변동,742,742,0,수성알파시티청아람,전세,84.952,202506,3,"33,000",0,6,2021,알파시티2로 96,202508~202708,신규,-,,,아파트
163,대구광역시 수성구 노변동,742,742,0,수성알파시티청아람,전세,59.9949,202506,3,"26,500",0,15,2021,알파시티2로 96,202508~202708,신규,-,,,아파트
164,대구광역시 수성구 사월동,650,650,0,시지3차서한이다음,전세,98.17,202506,3,"35,000",0,4,2018,달구벌대로669길 20-20,202507~202710,신규,-,,,아파트
165,대구광역시 수성구 만촌동,1032-1,1032,1,힐스테이트만촌역,월세,84.7518,202506,3,"8,000",150,2,2024,달구벌대로 2567,202507~202707,신규,-,,,아파트
166,대구광역시 수성구 시지동,462-2,462,2,대백,월세,84.985,202506,3,"1,900",50,4,1992,달구벌대로625길 21,202508~202708,신규,-,,,아파트
167,대구광역시 수성구 황금동,365,365,0,캐슬골드파크4단지,전세,138.82,202506,3,"48,000",0,1,2006,청수로 261,202509~202708,신규,-,,,아파트
168,대구광역시 수성구 범어동,314-2,314,2,을지맨션,월세,113.82,202506,3,"3,000",100,8,1987,달구벌대로496길 88,202508~202708,신규,-,,,아파트
