NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,대구광역시 수성구 황금동,Jan-99,99,1,태왕아너스,98.5991,202406,19,"100,000",105,7,개인,개인,2004,청호로 345,-,중개거래,대구 수성구,24.07.31
2,대구광역시 수성구 범물동,1397,1397,0,수성하늘채르레브,77.6522,202406,19,"44,700",103,16,개인,개인,2020,지범로48길 21,-,중개거래,대구 수성구,24.07.30
3,대구광역시 수성구 상동,555,555,0,수성동일하이빌레이크시티,189.6224,202406,19,"163,000",103,11,개인,개인,2009,수성로 71,-,중개거래,대구 수성구,24.09.12
4,대구광역시 수성구 범어동,380,380,0,범어롯데캐슬,84.89,202406,19,"97,000",104,23,개인,개인,2009,동대구로 300,-,중개거래,대구 수성구,24.10.30
5,대구광역시 수성구 지산동,1275,1275,0,지산한라타운,59.85,202406,19,"18,500",101,14,개인,개인,1991,지범로22길 9,-,직거래,-,24.07.25
6,대구광역시 수성구 만촌동,816,816,0,만촌우방타운1단지,59.73,202406,19,"35,700",115,7,개인,개인,1997,교학로11길 46,-,중개거래,대구 수성구,24.08.20
7,대구광역시 수성구 범어동,177-1,177,1,범어서한포레스트,84.9864,202406,19,"76,300",101,18,개인,개인,2020,동대구로 346,-,중개거래,대구 수성구,24.07.15
8,대구광역시 수성구 범어동,2277,2277,0,힐스테이트범어센트럴,84.81,202406,19,"86,500",104동,30,개인,개인,2022,상록로 80,-,중개거래,대구 수성구,25.01.31
9,대구광역시 수성구 매호동,1330,1330,0,누리타운,55.32,202406,19,"17,000",116,8,개인,개인,1995,달구벌대로637길 21,-,중개거래,대구 수성구,24.09.11
10,대구광역시 수성구 만촌동,1429-5,1429,5,메트로팔레스5,74.91,202406,19,"39,900",505,8,개인,개인,2003,동원로 100,-,중개거래,대구 수성구,24.08.09
11,대구광역시 수성구 신매동,100,100,0,시지3태왕하이츠,85,202406,19,"27,000",102,2,개인,개인,2001,욱수천로 77,-,중개거래,대구 수성구,24.08.20
12,대구광역시 수성구 두산동,105,105,0,대우트럼프월드수성,84.7,202406,19,"64,800",D,17,개인,개인,2007,동대구로 59,-,중개거래,대구 수성구,24.10.31
13,대구광역시 수성구 수성동4가,1017-1,1017,1,수성태영데시앙,84.4804,202406,19,"59,000",104,9,개인,개인,2008,들안로 360,-,중개거래,대구 수성구,24.08.08
14,대구광역시 수성구 만촌동,1039-4,1039,4,수성아크로타워,127.5285,202406,19,"134,000",수성 아크로타워,10,개인,개인,2008,달구벌대로 2570,-,중개거래,대구 수성구,24.09.27
15,대구광역시 수성구 범어동,Jan-35,35,1,범어역우방유쉘,120.0349,202406,19,"79,500",범어역 우방유쉘,17,개인,개인,2009,동대구로 345,-,중개거래,대구 수성구,24.11.22
16,대구광역시 수성구 범물동,1372,1372,0,청아타운,84.995,202406,19,"23,000",202,15,개인,개인,1992,범안로 40,-,중개거래,대구 수성구,24.07.29
17,대구광역시 수성구 범물동,697-1,697,1,보성송정타운,59.96,202406,18,"14,000",102,8,개인,개인,1995,지범로46길 43,-,중개거래,대구 수성구,24.08.14
18,대구광역시 수성구 범어동,333,333,0,가든하이츠3,84.98,202406,18,"80,000",306,8,개인,개인,1990,청호로 365,-,중개거래,"경북 경산시, 대구 수성구",24.08.29
19,대구광역시 수성구 시지동,141-5,141,5,은세계,59.745,202406,18,"20,000",101,3,개인,개인,1993,달구벌대로 3081,-,직거래,-,24.06.19
20,대구광역시 수성구 수성동4가,1115-16,1115,16,대림이편한세상,75.624,202406,18,"37,000",107,17,개인,개인,2005,들안로73길 50-7,-,직거래,-,24.07.18
21,대구광역시 수성구 범어동,320,320,0,경남타운,115.635,202406,18,"134,000",8,1,개인,개인,1982,범어로 27,-,중개거래,대구 수성구,24.08.29
22,대구광역시 수성구 상동,555,555,0,수성동일하이빌레이크시티,118.7664,202406,18,"69,000",113,8,개인,개인,2009,수성로 71,-,중개거래,대구 수성구,24.08.16
23,대구광역시 수성구 범어동,320,320,0,경남타운,84.55,202406,18,"102,000",9,3,개인,개인,1982,범어로 27,-,중개거래,대구 수성구,24.09.04
24,대구광역시 수성구 매호동,1330,1330,0,누리타운,59.97,202406,18,"16,800",118,3,개인,개인,1995,달구벌대로637길 21,-,중개거래,"대구 동구, 대구 수성구",24.08.30
25,대구광역시 수성구 범어동,966-1,966,1,범어월드메르디앙웨스턴카운티,132.6887,202406,18,"87,000",204,11,개인,개인,2008,범어천로 200,-,중개거래,대구 수성구,24.08.21
26,대구광역시 수성구 수성동1가,105-5,105,5,수성영남,29.995,202406,17,"11,000",101,1,개인,개인,2000,달구벌대로456길 43,-,중개거래,대구 수성구,24.07.30
27,대구광역시 수성구 지산동,1766,1766,0,더샵수성라크에르,84.9397,202406,17,"58,500",107,25,개인,개인,2024,지산로3길 33,-,중개거래,대구 수성구,24.07.10
28,대구광역시 수성구 범어동,2248,2248,0,범어라온프라이빗,84.9704,202406,17,"93,000",102,20,개인,개인,2016,동대구로55길 11,-,중개거래,대구 수성구,24.11.15
29,대구광역시 수성구 중동,641,641,0,수성효성해링턴플레이스,84.9971,202406,17,"51,700",104동,1,개인,개인,2020,희망로24길 24,-,중개거래,대구 수성구,24.07.17
30,대구광역시 수성구 두산동,789,789,0,수성화성파크드림,84.8227,202406,17,"43,500",101,18,개인,개인,2009,용학로28길 8,-,중개거래,대구 수성구,24.07.26
31,대구광역시 수성구 만촌동,1483,1483,0,만촌삼정그린코아에듀파크,84.9967,202406,17,"89,900",108,6,개인,개인,2019,교학로 65,-,중개거래,대구 수성구,24.09.27
32,대구광역시 수성구 신매동,569,569,0,시지대백신화창신맨션,60,202406,17,"18,400",202,7,개인,개인,1994,고산로 90,-,중개거래,대구 동구,24.07.04
33,대구광역시 수성구 황금동,986,986,0,힐스테이트황금엘포레,75.8632,202406,17,"67,000",105,14,개인,개인,2022,청솔로 16,-,중개거래,대구 수성구,24.08.26
34,대구광역시 수성구 상동,555,555,0,수성동일하이빌레이크시티,118.7664,202406,16,"91,000",-,15,개인,개인,2009,수성로 71,20240715,중개거래,대구 수성구,-
35,대구광역시 수성구 황금동,985,985,0,힐스테이트황금동,59.9776,202406,16,"54,500",-,14,개인,개인,2018,청수로 274,20240626,중개거래,대구 수성구,-
36,대구광역시 수성구 지산동,1273,1273,0,협화맨션,84.76,202406,16,"24,500",106,3,개인,개인,1991,지범로22길 23,-,중개거래,대구 수성구,24.09.06
37,대구광역시 수성구 상동,555,555,0,수성동일하이빌레이크시티,118.7664,202406,16,"91,000",103,15,개인,개인,2009,수성로 71,-,중개거래,대구 수성구,24.08.16
38,대구광역시 수성구 범어동,2280,2280,0,빌리브범어120,84.5729,202406,16,"112,000",103동,8,개인,개인,2022,범어로20길 120,-,중개거래,대구 수성구,24.07.29
39,대구광역시 수성구 황금동,985,985,0,힐스테이트황금동,59.9776,202406,16,"54,500",101,14,개인,개인,2018,청수로 274,-,중개거래,대구 수성구,24.08.12
40,대구광역시 수성구 파동,1000,1000,0,수성아이파크,69.97,202406,16,"29,400",105동,8,개인,개인,2016,파동로22길 15,-,중개거래,대구 수성구,24.08.14
41,대구광역시 수성구 수성동1가,818,818,0,수성롯데캐슬THEFIRST,99.9942,202406,16,"77,500",301,6,개인,개인,2015,수성로69길 41,-,중개거래,대구 수성구,24.09.02
