NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,대구광역시 수성구 수성동1가,272-11,272,11,우방한가람타운,59.93,202506,18,"19,350",-,15,개인,개인,1995,명덕로 368,-,중개거래,대구 수성구,-
2,대구광역시 수성구 상동,206-17,206,17,리버아크로파트,84.9118,202506,17,"27,000",-,15,개인,개인,2004,신천동로 90,-,중개거래,대구 수성구,-
3,대구광역시 수성구 만촌동,777,777,0,만촌우방타운2단지,84.98,202506,17,"46,900",-,9,개인,개인,1996,교학로11길 91,-,중개거래,"대구 동구, 대구 수성구",-
4,대구광역시 수성구 범어동,2264,2264,0,힐스테이트범어,84.9218,202506,17,"152,000",-,18,개인,개인,2020,범어로18길 22,-,중개거래,"대구 달서구, 대구 북구",-
5,대구광역시 수성구 매호동,1330,1330,0,누리타운,59.97,202506,17,"17,500",-,10,개인,개인,1995,달구벌대로637길 21,-,직거래,-,-
6,대구광역시 수성구 시지동,498,498,0,고산노변타운,59.75,202506,16,"20,000",-,4,개인,개인,1996,시지로 55,-,중개거래,대구 수성구,-
7,대구광역시 수성구 범물동,1397,1397,0,수성하늘채르레브,84.9978,202506,16,"44,000",-,1,개인,개인,2020,지범로48길 21,-,중개거래,대구 수성구,-
8,대구광역시 수성구 지산동,1297-3,1297,3,지산서한이다음아파트,54.12,202506,16,"11,200",-,15,개인,개인,1991,용학로 313,-,중개거래,대구 수성구,-
9,대구광역시 수성구 황금동,365,365,0,캐슬골드파크1단지,84.97,202506,16,"56,900",-,16,개인,개인,2006,청수로 213,-,중개거래,대구 수성구,-
10,대구광역시 수성구 황금동,365,365,0,캐슬골드파크1단지,84.97,202506,16,"45,000",-,15,개인,개인,2006,청수로 213,-,직거래,-,-
11,대구광역시 수성구 신매동,57-17,57,17,유성푸르나임르노블,109.712,202506,16,"43,000",-,8,개인,개인,2009,달구벌대로 3308,-,중개거래,대구 수성구,-
12,대구광역시 수성구 지산동,1270-1,1270,1,보성맨션,84.99,202506,15,"22,000",-,4,개인,개인,1991,지범로22길 10,-,중개거래,대구 수성구,-
13,대구광역시 수성구 매호동,1324,1324,0,두레타운,39.9,202506,15,"10,000",-,8,개인,개인,1995,천을로 131,-,중개거래,대구 수성구,-
14,대구광역시 수성구 노변동,742,742,0,수성알파시티청아람,84.952,202506,15,"59,500",-,1,개인,개인,2021,알파시티2로 96,-,중개거래,대구 수성구,-
15,대구광역시 수성구 범어동,620,620,0,범어아이파크1차아파트,84.9752,202506,15,"123,000",-,7,개인,개인,2024,동대구로 230,-,중개거래,대구 수성구,-
16,대구광역시 수성구 수성동4가,1017-1,1017,1,수성태영데시앙,131.0289,202506,15,"92,000",-,8,개인,개인,2008,들안로 360,-,중개거래,대구 수성구,-
17,대구광역시 수성구 황금동,365,365,0,캐슬골드파크5단지,84.97,202506,15,"46,000",-,16,개인,개인,2006,청수로 214,-,중개거래,대구 수성구,-
18,대구광역시 수성구 범어동,2291,2291,0,수성범어W,84.9974,202506,14,"132,500",-,16,개인,개인,2023,달구벌대로 2436,-,중개거래,대구 수성구,-
19,대구광역시 수성구 지산동,1766,1766,0,더샵수성라크에르,84.9397,202506,14,"60,000",-,5,개인,개인,2024,지산로3길 33,-,중개거래,대구 수성구,-
20,대구광역시 수성구 범어동,175-1,175,1,브라운스톤범어,84.8465,202506,14,"75,500",-,33,개인,개인,2017,동대구로 354,-,중개거래,대구 수성구,-
21,대구광역시 수성구 황금동,365,365,0,캐슬골드파크1단지,84.97,202506,14,"55,000",-,16,개인,개인,2006,청수로 213,-,중개거래,대구 수성구,-
22,대구광역시 수성구 시지동,499,499,0,노변다숲,53.3225,202506,14,"13,100",-,7,개인,개인,1996,노변공원로 34,-,중개거래,대구 수성구,-
23,대구광역시 수성구 중동,556,556,0,수성푸르지오리버센트,84.9976,202506,14,"73,500",-,14,개인,개인,2024,수성로35길 50,-,중개거래,대구 수성구,-
24,대구광역시 수성구 파동,1000,1000,0,수성아이파크,69.97,202506,14,"28,850",-,6,개인,개인,2016,파동로22길 15,-,중개거래,대구 수성구,-
25,대구광역시 수성구 범물동,1269,1269,0,범물영남,84.385,202506,14,"25,000",-,5,개인,개인,1992,용학로 316,-,직거래,-,-
26,대구광역시 수성구 파동,53,53,0,수성못코오롱하늘채,84.8355,202506,13,"37,500",-,15,개인,개인,2013,파동로 222,-,중개거래,대구 수성구,-
27,대구광역시 수성구 범어동,175-1,175,1,브라운스톤범어,84.8465,202506,13,"67,600",-,7,개인,개인,2017,동대구로 354,-,중개거래,대구 수성구,-
28,대구광역시 수성구 황금동,986,986,0,힐스테이트황금엘포레,75.458,202506,13,"71,800",-,6,개인,개인,2022,청솔로 16,-,중개거래,대구 수성구,-
29,대구광역시 수성구 범어동,2240,2240,0,e편한세상범어,84.791,202506,13,"69,000",-,18,개인,개인,2015,들안로78길 45,-,중개거래,"대구 달성군, 대구 수성구",-
30,대구광역시 수성구 노변동,440,440,0,노변대백,84.95,202506,13,"24,000",-,8,개인,개인,1999,노변로 11,-,중개거래,대구 수성구,-
31,대구광역시 수성구 매호동,1324,1324,0,두레타운,39.9,202506,13,"8,900",-,1,개인,개인,1995,천을로 131,-,중개거래,대구 수성구,-
32,대구광역시 수성구 신매동,594,594,0,시지동서타운,116.19,202506,13,"31,000",-,11,개인,개인,1995,신매로 41,-,중개거래,대구 수성구,-
33,대구광역시 수성구 범어동,2272,2272,0,범어에일린의뜰,84.9603,202506,13,"103,700",-,10,개인,개인,2021,청솔로14길 15,-,중개거래,대구 수성구,-
34,대구광역시 수성구 파동,153,153,0,대자연맨션1차,63.79,202506,13,"13,000",-,5,개인,개인,1987,파동로 120,-,중개거래,대구 수성구,-
35,대구광역시 수성구 파동,1000,1000,0,수성아이파크,59.95,202506,13,"24,800",-,4,개인,개인,2016,파동로22길 15,-,중개거래,대구 수성구,-
36,대구광역시 수성구 범어동,966-1,966,1,범어월드메르디앙웨스턴카운티,101.603,202506,12,"70,000",-,15,개인,개인,2008,범어천로 200,-,중개거래,대구 수성구,-
37,대구광역시 수성구 매호동,1040,1040,0,매호동서타운,84.98,202506,12,"26,000",-,2,개인,개인,1995,천을로 180,-,중개거래,대구 수성구,-
38,대구광역시 수성구 범물동,1397,1397,0,수성하늘채르레브,77.6522,202506,12,"46,900",-,14,개인,개인,2020,지범로48길 21,-,중개거래,"대구 수성구, 충남 천안시 서북구",-
39,대구광역시 수성구 황금동,365,365,0,캐슬골드파크5단지,84.97,202506,12,"49,500",-,10,개인,개인,2006,청수로 214,-,중개거래,"대구 북구, 대구 수성구",-
40,대구광역시 수성구 범물동,1336,1336,0,범물한라창신태성맨션,71.88,202506,11,"20,000",-,14,개인,개인,1992,용학로 272,-,중개거래,대구 수성구,-
41,대구광역시 수성구 신매동,579,579,0,천마타운,134.97,202506,11,"47,250",-,15,개인,개인,1994,신매로 51,-,중개거래,대구 수성구,-
42,대구광역시 수성구 범어동,산103,103,0,장원맨션,121.34,202506,11,"108,000",-,13,개인,개인,1988,청호로 370,-,중개거래,대구 수성구,-
43,대구광역시 수성구 범어동,2100,2100,0,범어월드메르디앙이스턴카운티,116.9207,202506,11,"76,500",-,12,개인,개인,2008,범어천로 190,-,중개거래,대구 수성구,-
44,대구광역시 수성구 황금동,986,986,0,힐스테이트황금엘포레,84.9652,202506,10,"79,500",-,3,개인,개인,2022,청솔로 16,-,중개거래,"대구 수성구, 대구 중구",-
45,대구광역시 수성구 황금동,986,986,0,힐스테이트황금엘포레,84.9652,202506,10,"79,500",-,3,개인,개인,2022,청솔로 16,20250611,중개거래,"대구 수성구, 대구 중구",-
46,대구광역시 수성구 범물동,1397,1397,0,수성하늘채르레브,77.6522,202506,10,"45,500",-,20,개인,개인,2020,지범로48길 21,-,중개거래,대구 수성구,-
47,대구광역시 수성구 만촌동,1479,1479,0,만촌3차화성파크드림,84.9882,202506,10,"94,000",-,18,개인,개인,2016,교학로 13,-,중개거래,대구 수성구,-
48,대구광역시 수성구 범어동,179,179,0,두산위브더제니스,143.7941,202506,10,"185,000",-,30,개인,개인,2009,달구벌대로 2435,-,중개거래,"대구 북구, 대구 수성구",-
49,대구광역시 수성구 지산동,1297-3,1297,3,지산서한이다음아파트,54.12,202506,10,"12,000",-,6,개인,개인,1991,용학로 313,-,중개거래,대구 수성구,-
50,대구광역시 수성구 매호동,1075-1,1075,1,태왕하이츠2,84.9886,202506,10,"31,100",-,15,개인,개인,2001,천을로 170,20250617,중개거래,대구 수성구,-
51,대구광역시 수성구 매호동,1075-1,1075,1,태왕하이츠2,84.9886,202506,10,"31,100",-,15,개인,개인,2001,천을로 170,-,중개거래,대구 수성구,-
52,대구광역시 수성구 범어동,2017,2017,0,청구성조타운,59.455,202506,10,"22,800",-,14,개인,개인,1996,국채보상로 846,-,중개거래,대구 수성구,-
53,대구광역시 수성구 범어동,2240,2240,0,e편한세상범어,84.791,202506,10,"66,300",-,6,개인,개인,2015,들안로78길 45,-,중개거래,대구 수성구,-
54,대구광역시 수성구 신매동,10-14,10,14,사월화성파크드림(1단지),84.9999,202506,10,"30,000",-,2,개인,개인,2006,달구벌대로 3304,-,직거래,-,-
55,대구광역시 수성구 범어동,2277,2277,0,힐스테이트범어센트럴,84.96,202506,9,"84,000",-,7,개인,개인,2022,상록로 80,-,중개거래,대구 수성구,-
56,대구광역시 수성구 사월동,645,645,0,시지한신휴플러스,84.7139,202506,9,"32,500",-,4,개인,개인,2013,달구벌대로669길 50,-,중개거래,대구 수성구,-
