NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1230,대구광역시 수성구 수성동1가,613,613,0,신세계타운,134.79,202303,2,"77,000",11,12,-,-,1989,신천동로 320,-,직거래,-,23.04.20
1231,대구광역시 수성구 지산동,1270-1,1270,1,보성맨션,113.09,202303,2,"37,900",105,4,-,-,1991,지범로21길 3,-,중개거래,대구 수성구,23.04.20
1232,대구광역시 수성구 만촌동,1429-5,1429,5,메트로팔레스5,74.91,202303,2,"36,600",505,8,-,-,2003,동원로 100,-,중개거래,대구 수성구,23.05.11
1233,대구광역시 수성구 신매동,580,580,0,시지청솔타운,57.39,202303,2,"16,700",215,11,-,-,1995,고산로 70,-,중개거래,경북 경산시 대구 수성구,23.03.31
1234,대구광역시 수성구 만촌동,605,605,0,만촌보성타운,84.98,202303,1,"29,000",102,9,-,-,2002,공경로 70,-,중개거래,대구 북구 대구 수성구,23.03.10
1235,대구광역시 수성구 욱수동,185-1,185,1,태왕4하이츠,115.8784,202303,1,"49,000",106,13,-,-,2004,욱수천로 27,-,중개거래,대구 수성구,23.05.22
1236,대구광역시 수성구 수성동4가,1090-8,1090,8,수성하이츠,26.875,202303,1,"9,750",103,21,-,-,2000,수성로 393,-,중개거래,대구 수성구,23.03.10
1237,대구광역시 수성구 범어동,2240,2240,0,e편한세상범어,84.7725,202303,1,"59,000",105동,19,-,-,2015,들안로78길 45,-,중개거래,대구 수성구,23.07.14
1238,대구광역시 수성구 시지동,591,591,0,수성알파시티동화아이위시,84.914,202303,1,"71,000",106동,25,-,-,2019,알파시티2로 48,-,중개거래,대구 수성구,23.06.08
1239,대구광역시 수성구 범어동,177-1,177,1,범어서한포레스트,84.9877,202303,1,"73,000",101,35,-,-,2020,동대구로 346,-,중개거래,대구 수성구,23.04.06
1240,대구광역시 수성구 범물동,1281,1281,0,청구타운,59.91,202303,1,"23,000",201,9,-,-,1992,지범로39길 12,-,중개거래,대구 수성구,23.05.09
1241,대구광역시 수성구 범어동,2257,2257,0,범어센트럴푸르지오,84.955,202303,1,"83,000",104동,21,-,-,2019,상록로 15,-,중개거래,대구 수성구,23.05.24
1242,대구광역시 수성구 만촌동,1040-12,1040,12,만촌역 서한포레스트,84.9412,202303,1,"76,500",101동,9,-,-,2022,달구벌대로 2606,-,중개거래,대구 수성구,23.05.12
1243,대구광역시 수성구 범물동,1372,1372,0,청아타운,134.73,202302,28,"37,000",105,6,-,-,1992,범안로 40,-,중개거래,대구 수성구,23.06.30
1244,대구광역시 수성구 신매동,230,230,0,신매아이프라임,84.953,202302,28,"43,000",101,12,-,-,2008,달구벌대로649길 14,-,중개거래,경북 경산시 대구 수성구,23.04.27
1245,대구광역시 수성구 수성동1가,629-12,629,12,동양엘레브,84.9902,202302,28,"50,000",101,2,-,-,2006,명덕로73길 40,-,직거래,-,23.02.28
1246,대구광역시 수성구 시지동,591,591,0,수성알파시티동화아이위시,84.9478,202302,28,"76,000",107동,23,-,-,2019,알파시티2로 48,-,중개거래,대구 수성구,23.05.30
1247,대구광역시 수성구 시지동,262,262,0,아이프라임시지,136.0413,202302,28,"61,700",101,7,-,-,2008,달구벌대로 3110,-,중개거래,대구 수성구,23.03.31
1248,대구광역시 수성구 수성동3가,289,289,0,수성코오롱하늘채,126.3312,202302,28,"131,000",102,13,-,-,2009,들안로 300,-,중개거래,대구 수성구,23.10.31
1249,대구광역시 수성구 중동,650,650,0,수성골드클래스더센텀,84.974,202302,28,"50,000",105동,26,-,-,2021,수성로 185,-,직거래,-,23.04.17
1250,대구광역시 수성구 범물동,1372,1372,0,청아타운,134.73,202302,28,"36,000",-,5,-,-,1992,범안로 40,20230323,직거래,-,-
1251,대구광역시 수성구 범물동,1372,1372,0,청아타운,134.73,202302,28,"36,000",205,5,-,-,1992,범안로 40,-,직거래,-,23.04.19
1252,대구광역시 수성구 욱수동,185-1,185,1,태왕4하이츠,84.7132,202302,28,"40,000",103,16,-,-,2004,욱수천로 27,-,직거래,-,23.02.28
1253,대구광역시 수성구 범물동,1397,1397,0,수성하늘채르레브,77.9966,202302,28,"45,300",104,4,-,-,2020,지범로48길 21,-,직거래,-,23.03.06
1254,대구광역시 수성구 범물동,1397,1397,0,수성하늘채르레브,84.9978,202302,28,"52,000",105,20,-,-,2020,지범로48길 21,-,직거래,-,23.03.15
1255,대구광역시 수성구 황금동,365,365,0,캐슬골드파크5단지,116.82,202302,28,"58,800",1514,6,-,-,2006,청수로 214,-,중개거래,대구 수성구,23.03.02
1256,대구광역시 수성구 범어동,2272,2272,0,범어에일린의뜰,70.2513,202302,28,"60,000",103동,19,-,-,2021,청솔로14길 15,-,중개거래,대구 수성구,23.05.30
1257,대구광역시 수성구 범어동,2257,2257,0,범어센트럴푸르지오,84.955,202302,28,"79,500",104동,20,-,-,2019,상록로 15,-,중개거래,대구 수성구,23.05.02
1258,대구광역시 수성구 범어동,2240,2240,0,e편한세상범어,84.7725,202302,28,"56,000",106동,8,-,-,2015,들안로78길 45,-,중개거래,대구 수성구,23.08.01
1259,대구광역시 수성구 파동,581-30,581,30,드림팰리스101동,84.6953,202302,28,"30,000",101,10,-,-,2015,가창로221길 36,-,중개거래,대구 수성구,23.10.31
